Timestamp;Cins;Geri_Qayidacaqmi;Tovsiye_Edecekmi;region_bucket;Stadionda neçə sponsor reklamı gördünüz?;Sual;Reytinq
2025-03-17 20:31:10.748;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;9.00
2025-03-19 15:47:08.896;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);9.00
2025-03-18 12:57:01.184;Kişi;Bəli;Bəli;Qeyd olunmayıb;3;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);10.00
2025-03-18 12:07:38.943;Qadın;Bəli;Bəli;Qeyd olunmayıb;3;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);10.00
2025-03-19 14:06:35.732;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);10.00
2025-03-17 20:44:32.298;Kişi;Bəli;Bəli;Qeyd olunmayıb;2;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);8.00
2025-03-18 12:46:55.111;Kişi;Bəli;Bəli;Qeyd olunmayıb;1;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);10.00
2025-03-18 14:54:26.549;Kişi;Bəli;Bəli;Tovuz şəhəri;1;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);9.00
2025-03-18 13:46:38.504;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);10.00
2025-03-19 15:32:44.205;Kişi;Bəli;Bəli;Kənd (Tovuz rayonu);1;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);10.00
